country,cluster
Albania,1
Baku (Azerbaijan),2
Argentina,3
Australia,2
Brazil,4
Brunei Darussalam,5
Chile,5
Chinese Taipei,6
Colombia,7
Costa Rica,8
Denmark,9
Dominican Republic,1
Estonia,6
France,7
Georgia,2
Greece,10
Indonesia,11
Italy,12
Kazakhstan,10
Jordan,9
Lebanon,4
Lithuania,13
Mexico,11
Moldova,8
Morocco,8
Panama,1
Peru,3
Philippines,3
Poland,13
Portugal,13
Qatar,4
Saudi Arabia,14
Slovak Republic,14
Spain,6
Sweden,9
Switzerland,5
Thailand,14
United Arab Emirates,12
Turkey,12
United States,11
Uruguay,10
B-S-J-Z (China),7
