country,cluster
Albania,1
Baku (Azerbaijan),2
Argentina,2
Australia,3
Brazil,4
Brunei Darussalam,1
Chile,5
Chinese Taipei,1
Colombia,2
Costa Rica,6
Denmark,2
Dominican Republic,3
Estonia,2
France,6
Georgia,6
Greece,2
Indonesia,6
Italy,6
Kazakhstan,6
Jordan,6
Lebanon,6
Lithuania,6
Mexico,6
Moldova,6
Morocco,6
Panama,7
Peru,6
Philippines,6
Poland,2
Portugal,2
Qatar,2
Saudi Arabia,2
Slovak Republic,2
Spain,2
Sweden,2
Switzerland,2
Thailand,6
United Arab Emirates,6
Turkey,6
United States,2
Uruguay,6
B-S-J-Z (China),1
