country,cluster
Albania,1
Baku (Azerbaijan),2
Argentina,2
Australia,2
Brazil,2
Brunei Darussalam,2
Chile,2
Chinese Taipei,2
Colombia,3
Costa Rica,2
Denmark,2
Dominican Republic,2
Estonia,2
France,4
Georgia,5
Greece,2
Indonesia,2
Italy,2
Kazakhstan,2
Jordan,3
Lebanon,6
Lithuania,2
Mexico,4
Moldova,2
Morocco,2
Panama,2
Peru,2
Philippines,1
Poland,2
Portugal,2
Qatar,2
Saudi Arabia,2
Slovak Republic,5
Spain,2
Sweden,7
Switzerland,2
Thailand,2
United Arab Emirates,2
Turkey,2
United States,2
Uruguay,2
B-S-J-Z (China),2
