"CNTSCHID","CNT","PRIVATESCH","STRATIO","SCHSIZE","SCH_TESTED","sum_MATH1below","mean_ESCS","mean_ESCS_std","Y_MATH1","Y_MATH1_rate","Y_BIN_MATH1"
800006,"Albania","public",18,315,19,15,-1.34374736842105,-0.657830581196413,15,0.789473684210526,1
800035,"Albania","public",11.68,292,11,7,-0.820427272727273,0.204470314667643,7,0.636363636363636,0
800037,"Albania","public",22.7239,1852,16,10,-0.54310625,0.661426140188994,10,0.625,0
800078,"Albania","private",10.4516,162,14,12,-0.873785714285714,0.116548921362928,12,0.857142857142857,1
800112,"Albania","public",16.1481,436,11,9,-1.29055454545455,-0.570182085992443,9,0.818181818181818,0
800116,"Albania","public",18.4,460,19,11,-0.161915789473684,1.28953287316455,11,0.578947368421053,1
800131,"Albania","public",14.8214,415,10,7,-0.66179,0.465864943912308,7,0.7,0
800132,"Albania","public",14.4571,253,10,8,-0.40521,0.888644740983703,8,0.8,0
800133,"Albania","public",12.7273,210,10,10,-1.82968,-1.45852626819196,10,1,0
800134,"Albania","private",9.2593,125,13,11,0.504838461538462,2.38817745551471,11,0.846153846153846,1
800168,"Albania","private",12,300,11,6,-0.432281818181818,0.844037141805035,6,0.545454545454545,0
800174,"Albania","public",11.5333,173,16,14,-1.39836875,-0.747832984422333,14,0.875,1
800193,"Albania","public",14.2069,412,16,12,-0.87089375,0.121314156665181,12,0.75,1
800219,"Albania","public",7.7381,325,17,12,-1.00358823529412,-0.0973332342660701,12,0.705882352941177,1
800229,"Albania","public",5.3846,105,10,4,-1.21719,-0.449295627034193,4,0.4,0
800267,"Albania","public",15,435,11,6,-1.49337272727273,-0.904375825767486,6,0.545454545454545,0
800276,"Albania","public",18.4,460,11,11,-1.27211818181818,-0.539803560476361,11,1,1
800284,"Albania","private",7.3591,666,18,14,-0.997305555555556,-0.0869809462275096,14,0.777777777777778,1
800305,"Albania","public",16.9655,492,15,13,-0.747173333333333,0.325174522445529,13,0.866666666666667,1
800322,"Albania","public",8,164,12,11,-1.6159,-1.10627018814705,11,0.916666666666667,1
3100050,"Baku (Azerbaijan)","private",9.9432,875,10,1,0.73438,1.8937583202861,1,0.1,0
3100065,"Baku (Azerbaijan)","public",9.1573,815,18,15,-0.872605555555556,-0.897601482798708,15,0.833333333333333,1
3100141,"Baku (Azerbaijan)","public",13.9091,1836,19,12,-0.0610736842105263,0.51204245380256,12,0.631578947368421,1
3100148,"Baku (Azerbaijan)","private",20.466,2108,11,9,-0.307745454545455,0.0835696141505278,9,0.818181818181818,0
3200007,"Argentina","public",10.0588,171,19,19,-1.13675263157895,0.432483511905605,19,1,1
3200025,"Argentina","public",3.7867,284,17,16,-1.03685294117647,0.567911882390808,16,0.941176470588235,1
3200054,"Argentina","private",16.6909,459,11,10,-0.6658,1.07092740711185,10,0.909090909090909,0
3200072,"Argentina","public",2.1778,98,13,12,-1.49724615384615,-0.0562172047275307,12,0.923076923076923,1
3200082,"Argentina","public",4.275,171,16,16,-1.574475,-0.160911991537485,16,1,1
3200088,"Argentina","public",6.7333,202,14,14,-1.44305,0.0172534614214807,14,1,1
3200094,"Argentina","private",6.1404,175,18,18,-2.36537777777778,-1.23309423729957,18,1,1
3200096,"Argentina","public",3.1714,111,14,14,-2.43825,-1.33188299499673,14,1,1
3200149,"Argentina","private",11.8947,339,11,8,0.841890909090909,3.11481885653393,8,0.727272727272727,0
3200154,"Argentina","public",2.4103,94,14,14,-1.53396428571429,-0.105993903195042,14,1,1
3200157,"Argentina","public",5.0968,79,11,10,-2.60261818181818,-1.55470765975365,10,0.909090909090909,0
3200158,"Argentina","public",3.6078,92,11,10,-1.50866363636364,-0.0716952412074875,10,0.909090909090909,0
3200183,"Argentina","public",6.1176,52,13,13,-2.08382307692308,-0.851406424398647,13,1,1
3200197,"Argentina","private",5.2917,127,15,15,-1.59002666666667,-0.181994508074929,15,1,1
3200202,"Argentina","public",5.2,143,19,18,-1.04394210526316,0.558301502854151,18,0.947368421052632,1
3200211,"Argentina","public",2.931,425,17,17,-1.2689,0.253338784859213,17,1,1
3200219,"Argentina","public",4.7059,80,13,13,-2.68303846153846,-1.66372889287862,13,1,1
3200220,"Argentina","public",4.6214,647,13,13,-1.79153076923077,-0.455162244094889,13,1,1
3200235,"Argentina","public",10.3619,544,17,17,-1.52551176470588,-0.0945352976473359,17,1,1
3200275,"Argentina","public",4.8462,126,11,11,-2.16092727272727,-0.955932229766662,11,1,1
3200279,"Argentina","public",8.4658,618,17,17,-1.90177058823529,-0.604608143178439,17,1,1
3200282,"Argentina","public",7.5455,83,15,15,-2.57082666666667,-1.51160969743885,15,1,1
3200289,"Argentina","public",3.0833,111,14,14,-1.86305,-0.552116827661766,14,1,1
3200296,"Argentina","private",10.2,102,19,19,-1.27673684210526,0.242714820442609,19,1,1
3200307,"Argentina","private",6.0588,103,14,13,-0.907114285714286,0.743791253261703,13,0.928571428571429,1
3200309,"Argentina","public",8.8594,567,17,14,-1.30891176470588,0.199097094294167,14,0.823529411764706,1
3200311,"Argentina","public",4.5484,141,18,18,-1.72238333333333,-0.36142296893706,18,1,1
3200319,"Argentina","private",4.3922,112,18,8,0.823972222222222,3.0905275043377,8,0.444444444444444,0
3200321,"Argentina","private",45.75,183,16,16,-1.4569125,-0.00153914722713019,16,1,1
3200327,"Argentina","public",5.4286,247,15,15,-1.25193333333333,0.276339537013448,15,1,1
3200329,"Argentina","public",4.0256,157,15,13,-1.5375,-0.110787071444978,13,0.866666666666667,1
3200343,"Argentina","private",8.359,163,19,17,-0.641605263157895,1.10372684594538,17,0.894736842105263,1
3200359,"Argentina","public",3.2754,226,19,18,-1.21146842105263,0.331195534163428,18,0.947368421052632,1
3200366,"Argentina","public",4.7619,500,10,10,-1.15183,0.41204397472344,10,1,0
3200373,"Argentina","public",6.425,257,12,12,-1.627225,-0.23242218855925,12,1,1
